aaa	101	用户权限	0
001	A03	另存	
001	803	综合检查	
001	402	浏览查询	
001	412	结帐	
001	416	辅助余额表	
001	421	总分类帐	
001	425	多栏帐	
001	431	报表定义	
001	43C	往来信息查询	
001	441	摘要信息维护	
001	445	结转类型维护	
001	452	客户期初录入	
001	461	客户信息维护	
001	470	帐务开工准备	
001	474	帐务操作日志	
001	484	工资结构设置	
001	488	工资部门维护	
001	492	固定资产台帐管理	
001	496	固定资产开工准备	
001	503	成本套帐信息	
001	511	入库单管理	
001	515	成本计算	
001	523	进销存表	
002	A03	另存	
002	803	综合检查	
002	402	浏览查询	
002	412	结帐	
002	416	辅助余额表	
002	421	总分类帐	
002	425	多栏帐	
002	431	报表定义	
002	43C	往来信息查询	
002	441	摘要信息维护	
002	445	结转类型维护	
002	452	客户期初录入	
002	461	客户信息维护	
002	470	帐务开工准备	
002	474	帐务操作日志	
002	484	工资结构设置	
002	488	工资部门维护	
002	492	固定资产台帐管理	
002	496	固定资产开工准备	
002	503	成本套帐信息	
002	511	入库单管理	
002	515	成本计算	
002	523	进销存表	
002	4A2	期初录入	
002	4AC	结账	
002	4C2	发票参数设置	
002	4C6	发票结账	
002	A04	导出	
002	804	数据备份	
002	403	凭证审核	
002	413	汇总余额表	
002	417	辅助外币余额表	
002	422	现金日记帐	
002	426	辅助明细帐	
002	435	财务分析	
002	43M	合同档案管理	
002	442	凭证类型维护	
002	446	凭证模版维护	
002	453	部门期初录入	
002	462	部门信息维护	
002	471	帐务套帐信息	
002	481	工资套帐信息	
002	485	工资计算公式	
002	489	工资初始化	
002	493	固定资产计提折旧	
002	497	固定资产反过帐	
002	504	产品档案	
002	512	出库单管理	
002	517	库存台帐	
002	524	成本利润表	
002	4A3	反结账	
002	4AD	汇总余额表	
002	4C3	发票录入	
002	4C7	发票反结账	
002	101	操作员管理	
002	801	系统初始化	
002	805	数据恢复	
002	404	凭证过帐	
002	414	外币余额表	
002	418	辅助数量余额表	
002	423	银行日记帐	
002	427	辅助多栏明细帐	
002	43A	期初往来单据	
002	43N	合同帐款查询	
002	443	结算类型维护	
002	450	期初录入	
002	454	个人期初录入	
002	463	人员信息维护	
002	472	帐务反过帐	
002	482	工资人事管理	
002	486	工资打印格式	
002	48a	工资反过帐	
002	494	固定资产折旧查询	
002	501	成本初始化	
002	505	期初库存	
002	513	当前库存	
002	521	入库汇总	
002	525	费用分摊	
002	4AA	单据录入	
002	4AE	出纳日记账	
002	4C4	凭证生成	
002	A02	打印	
002	802	套帐管理	
002	401	凭证输入	
002	411	月度结转	
002	415	数量余额表	
002	419	现金流量试算平衡表	
002	424	明细帐	
002	430	报表管理	
002	43B	单据核销	
002	440	科目维护	
002	444	外币类型维护	
002	451	项目期初录入	
002	460	项目信息维护	
002	464	现金项目维护	
002	473	帐务反结帐	
002	483	工资管理	
002	487	工资凭证设置	
002	491	固定资产套帐信息	
002	495	固定资产辅助维护	
002	502	成本反过帐	
002	506	打印格式定义	
002	514	盘点表	
002	522	出库汇总	
002	4A1	出纳初始化	
002	4AB	对账	
002	4C1	发票初始化	
002	4C5	季度汇总表	
002	400		
001	4A2	期初录入	
001	4AC	结账	
001	4C2	发票参数设置	
001	A02	打印	
001	802	套帐管理	
001	401	凭证输入	
001	411	月度结转	
001	415	数量余额表	
001	419	现金流量试算平衡表	
001	424	明细帐	
001	430	报表管理	
001	43B	单据核销	
001	440	科目维护	
001	444	外币类型维护	
001	451	项目期初录入	
001	460	项目信息维护	
001	464	现金项目维护	
001	473	帐务反结帐	
001	483	工资管理	
001	487	工资凭证设置	
001	491	固定资产套帐信息	
001	495	固定资产辅助维护	
001	502	成本反过帐	
001	506	打印格式定义	
001	514	盘点表	
001	522	出库汇总	
001	4A1	出纳初始化	
001	4AB	对账	
001	4C1	发票初始化	
001	4C6	发票结账	
001	4C5	季度汇总表	
001	4C7	发票反结账	
001	101	操作员管理	
001	801	系统初始化	
001	805	数据恢复	
001	404	凭证过帐	
001	414	外币余额表	
001	418	辅助数量余额表	
001	423	银行日记帐	
001	427	辅助多栏明细帐	
001	43A	期初往来单据	
001	43N	合同帐款查询	
001	443	结算类型维护	
001	450	期初录入	
001	454	个人期初录入	
001	463	人员信息维护	
001	472	帐务反过帐	
001	482	工资人事管理	
001	486	工资打印格式	
001	48a	工资反过帐	
001	494	固定资产折旧查询	
001	501	成本初始化	
001	505	期初库存	
001	513	当前库存	
001	521	入库汇总	
001	525	费用分摊	
001	4AA	单据录入	
001	4AE	出纳日记账	
001	4C4	凭证生成	
001	A04	导出	
001	804	数据备份	
001	403	凭证审核	
001	413	汇总余额表	
001	417	辅助外币余额表	
001	422	现金日记帐	
001	426	辅助明细帐	
001	435	财务分析	
001	43M	合同档案管理	
001	442	凭证类型维护	
001	446	凭证模版维护	
001	453	部门期初录入	
001	462	部门信息维护	
001	471	帐务套帐信息	
001	481	工资套帐信息	
001	485	工资计算公式	
001	489	工资初始化	
001	493	固定资产计提折旧	
001	497	固定资产反过帐	
001	504	产品档案	
001	512	出库单管理	
001	517	库存台帐	
001	524	成本利润表	
001	4A3	反结账	
001	4AD	汇总余额表	
001	4C3	发票录入	
001	400		
